Projection using October 2024 data (data sent in January 2025),UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,
,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21.00,20.00,23.00,21.00,21.00,23.00,21.00,20.00,22.00,20.00,21.00,254.00
geography_name,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,annual
"Shropshire, Telford And Wrekin ICB",779655.00,793139.00,793139.00,781406.00,780401.00,779297.00,777492.00,792076.00,791450.00,791450.00,791450.00,791450.00,54888.00,53865.00,48570.00,57064.00,51932.00,50501.00,56620.00,55848.00,47622.00,55388.00,56355.00,57752.00,0.85,0.82,0.78,0.81,0.80,0.78,0.80,0.85,0.76,0.81,0.90,0.88,0.82
Somerset ICB,792294.00,743294.00,748565.00,748565.00,748565.00,710825.00,715685.00,686152.00,716528.00,716528.00,716528.00,716528.00,27807.00,28253.00,27135.00,31231.00,28286.00,29378.00,32737.00,29193.00,26811.00,23862.00,24831.00,23543.00,0.42,0.46,0.46,0.46,0.46,0.50,0.51,0.51,0.48,0.38,0.44,0.40,0.47
South East London ICB,2721947.00,2815346.00,2818205.00,2848741.00,2774747.00,2809091.00,2814590.00,2813990.00,2804367.00,2804367.00,2804367.00,2804367.00,211362.00,219591.00,203548.00,232596.00,212353.00,214138.00,249890.00,229600.00,208287.00,242457.00,253733.00,292350.00,0.94,0.94,0.92,0.90,0.93,0.92,0.98,0.99,0.94,1.00,1.15,1.26,0.99
South West London ICB,1886710.00,1911735.00,1911735.00,1909819.00,1912819.00,1911404.00,1907233.00,1907233.00,1882130.00,1882130.00,1882130.00,1882130.00,152090.00,150967.00,136144.00,160235.00,142680.00,144188.00,166575.00,150212.00,136993.00,159388.00,161169.00,171672.00,0.98,0.96,0.90,0.93,0.90,0.91,0.96,0.95,0.92,0.98,1.09,1.10,0.97
South Yorkshire ICB,2508441.00,2507592.00,2503209.00,2506207.00,2510632.00,2508841.00,2507992.00,2491024.00,2479922.00,2479922.00,2479922.00,2479922.00,182135.00,180090.00,169806.00,188350.00,166871.00,180771.00,209931.00,193146.00,164743.00,194725.00,188662.00,205468.00,0.88,0.87,0.86,0.83,0.80,0.87,0.92,0.94,0.84,0.91,0.97,1.00,0.90
Staffordshire And Stoke-On-Trent ICB,1837085.00,1809172.00,1825758.00,1809172.00,1825758.00,1825758.00,1825880.00,1825880.00,1841844.00,1841844.00,1841844.00,1841844.00,125049.00,122679.00,117771.00,132328.00,122455.00,121653.00,142903.00,131518.00,108430.00,134737.00,132794.00,134056.00,0.82,0.82,0.82,0.81,0.81,0.81,0.86,0.87,0.75,0.84,0.92,0.88,0.83
Suffolk And North East Essex ICB,1347370.00,1356526.00,1357313.00,1349686.00,1352169.00,1389087.00,1362264.00,1382017.00,1387217.00,1387217.00,1387217.00,1387217.00,88949.00,91599.00,85407.00,97989.00,88820.00,89109.00,101214.00,94528.00,80748.00,97612.00,99650.00,108856.00,0.80,0.82,0.80,0.80,0.79,0.78,0.82,0.83,0.74,0.81,0.91,0.95,0.81
Surrey Heartlands ICB,1109543.00,1109380.00,1109269.00,1103498.00,1103498.00,1123173.00,1125347.00,1126595.00,1124629.00,1124629.00,1124629.00,1124629.00,87460.00,80227.00,76252.00,86057.00,82326.00,79380.00,94369.00,82402.00,74448.00,88024.00,91539.00,90211.00,0.95,0.87,0.87,0.86,0.90,0.85,0.93,0.88,0.84,0.90,1.03,0.97,0.90
Sussex ICB,2356843.00,2310240.00,2330912.00,2347494.00,2352293.00,2390055.00,2381994.00,2369780.00,2298118.00,2298118.00,2298118.00,2298118.00,164059.00,160542.00,153692.00,174668.00,162393.00,166829.00,191835.00,175272.00,155771.00,177179.00,179474.00,180641.00,0.84,0.84,0.84,0.82,0.84,0.84,0.89,0.89,0.86,0.89,0.99,0.95,0.89
West Yorkshire ICB,3761850.00,3783152.00,3774524.00,3769901.00,3767232.00,3761854.00,3757074.00,3756218.00,3721841.00,3721841.00,3721841.00,3721841.00,265301.00,275634.00,253852.00,297710.00,268637.00,272396.00,316688.00,288122.00,251778.00,305748.00,304013.00,306809.00,0.85,0.88,0.85,0.87,0.86,0.88,0.93,0.93,0.86,0.95,1.04,1.00,0.92
